CREATED_TIMESTAMP,FORM_ID,FORM_ID_SEQ,ALIEN_ID,ALIEN_SEQ,EMPLOYER_ID,COMPANYNAME_TH,COMPANYNAME_EN,BUS_TYPE_ID,JOB_DESCRIPTION,EMPLOYER_NO,MASTER_FORM_TYPE,MASTER_FORM_STATUS,VALID_UNTIL
2024-03-26,00501,1,00501,1,010,เจ๋ง ไม่ จำกัด,"Jeng Mai Co., Ltd.",9,กรรมกร,12346803,MT_13_EXIT,Consider request round1,26/06/2024 00:00:00
2024-03-26,00501,1,00502,2,010,เจ๋ง ไม่ จำกัด,"Jeng Mai Co., Ltd.",9,กรรมกร,12346803,MT_13_EXIT,Consider request round1,26/06/2024 00:00:00
2024-03-26,00501,1,00503,3,010,เจ๋ง ไม่ จำกัด,"Jeng Mai Co., Ltd.",9,กรรมกร,12346803,MT_13_EXIT,Consider request round1,26/06/2024 00:00:00
2024-03-26,00501,1,00504,4,010,เจ๋ง ไม่ จำกัด,"Jeng Mai Co., Ltd.",9,กรรมกร,12346803,MT_13_EXIT,Consider request round1,26/06/2024 00:00:00
2024-03-26,00501,1,00505,5,010,เจ๋ง ไม่ จำกัด,"Jeng Mai Co., Ltd.",9,กรรมกร,12346803,MT_13_EXIT,Consider request round1,26/06/2024 00:00:00
2024-03-26,00501,1,00506,6,010,เจ๋ง ไม่ จำกัด,"Jeng Mai Co., Ltd.",9,กรรมกร,12346803,MT_13_EXIT,Consider request round1,26/06/2024 00:00:00
2024-03-26,00501,1,00507,7,010,เจ๋ง ไม่ จำกัด,"Jeng Mai Co., Ltd.",9,กรรมกร,12346803,MT_13_EXIT,Consider request round1,26/06/2024 00:00:00
2024-03-26,00501,1,00508,8,010,เจ๋ง ไม่ จำกัด,"Jeng Mai Co., Ltd.",9,กรรมกร,12346803,MT_13_EXIT,Consider request round1,26/06/2024 00:00:00
2024-03-26,00501,1,00509,9,010,เจ๋ง ไม่ จำกัด,"Jeng Mai Co., Ltd.",9,กรรมกร,12346803,MT_13_EXIT,Consider request round1,26/06/2024 00:00:00
2024-03-26,00501,1,00510,10,010,เจ๋ง ไม่ จำกัด,"Jeng Mai Co., Ltd.",9,กรรมกร,12346803,MT_13_EXIT,Consider request round1,26/06/2024 00:00:00
2024-03-26,00501,1,00511,11,010,เจ๋ง ไม่ จำกัด,"Jeng Mai Co., Ltd.",9,กรรมกร,12346803,MT_13_EXIT,Consider request round1,26/06/2024 00:00:00
